"Anger","Disgust","Fear","Happiness","Sadness","Surprise","Positive","Negative","Moment.by.Moment.Ratings","Conversation","Measure"
1.14,1.05,1.33,3.22,1.63,2.06,30.01,13.09,4.43,"1","Mean"
1.88,1.56,1.81,2.03,2.87,2.36,26.95,15.1,5.36,"2","Mean"
1.64,1.45,1.86,2.12,2.67,2.06,26.51,14.86,4.97,"3","Mean"
1.22,1.15,1.28,3.5,1.5,2.24,30.12,12.01,4.74,"4","Mean"
0.55,0.27,0.68,1,0.88,1,8.25,3.07,2.18,"1","Standard Deviation"
1.16,0.91,1.11,1.06,1.24,1.24,8.38,4.63,2.39,"2","Standard Deviation"
0.91,0.86,1.12,1.09,1.2,1.11,8.47,5.13,2.46,"3","Standard Deviation"
0.55,0.46,0.53,1.09,0.82,1.1,8.6,2.9,2.37,"4","Standard Deviation"
1,1,1,1,1,1,13,10,1,"1","Lower Bound of Range"
1,1,1,1,1,1,13,10,1,"2","Lower Bound of Range"
1,1,1,1,1,1,10,10,1,"3","Lower Bound of Range"
1,1,1,1,1,1,11,10,1,"4","Lower Bound of Range"
4,3,4,5,4,5,46,23,10,"1","Upper Bound of Range"
5,5,5,5,5,5,46,33,10,"2","Upper Bound of Range"
5,5,5,5,5,5,48,36,10,"3","Upper Bound of Range"
3,3,3,5,5,5,47,25,10,"4","Upper Bound of Range"
